Question,Gold Standard Entities,Gold Standard Relations,FALCON_Entities,P_E,R_E,FALCON_Relations,P_R,R_R
Which building after the Burj Khalifa has the most floors?,['http://dbpedia.org/resource/Burj_Khalifa'],['http://dbpedia.org/ontology/floorCount'],['http://dbpedia.org/resource/Burj_Khalifa'],1.0,1.0,"['http://dbpedia.org/ontology/building', 'http://dbpedia.org/ontology/floorCount']",0.5,1.0
What was the final result of the War of the Roses?,[],['http://dbpedia.org/ontology/isPartOfMilitaryConflict'],['http://dbpedia.org/resource/The_War_of_the_Roses_(film)'],0,0,[],0,0.0
How much did Pulp Fiction cost?,['http://dbpedia.org/resource/Pulp_Fiction'],['http://dbpedia.org/ontology/budget'],['http://dbpedia.org/resource/Pulp_Fiction'],1.0,1.0,['http://dbpedia.org/ontology/budget'],1.0,1.0
Is proinsulin a protein?,['http://dbpedia.org/resource/Proinsulin'],[],['http://dbpedia.org/resource/Proinsulin'],1.0,1.0,[],1,1
Do Urdu and Persian have a common root?,[],"['http://dbpedia.org/ontology/languageFamily', 'http://dbpedia.org/ontology/languageFamily']",['http://dbpedia.org/resource/Urdu_Wikipedia'],0,0,['http://dbpedia.org/ontology/parent'],0.0,0.0
Who is starring in Spanish movies produced by Benicio del Toro?,"['http://dbpedia.org/resource/Spain', 'http://dbpedia.org/resource/Benicio_del_Toro']",[],"['http://dbpedia.org/resource/Spain', 'http://dbpedia.org/resource/The_Movies_(film)', 'http://dbpedia.org/resource/Benicio_del_Toro']",0.6666666666666666,1.0,"['http://dbpedia.org/ontology/starring', 'http://dbpedia.org/ontology/wineProduced', 'http://dbpedia.org/ontology/country']",0,0
Is Lake Baikal bigger than the Great Bear Lake?,"['http://dbpedia.org/resource/Lake_Baikal', 'http://dbpedia.org/resource/Great_Bear_Lake']",['http://dbpedia.org/ontology/areaTotal'],"['http://dbpedia.org/resource/Lake_Baikal', 'http://dbpedia.org/resource/Great_Bear_Lake']",1.0,1.0,[],0,0.0
Show me all books in Asimov's Foundation series.,['http://dbpedia.org/resource/Foundation_series'],['http://dbpedia.org/ontology/series'],"['http://dbpedia.org/resource/Asimov_(disambiguation)', 'http://dbpedia.org/resource/Foundation_series']",0.5,1.0,"['http://dbpedia.org/ontology/show', 'http://dbpedia.org/property/books']",0.0,0.0
Where was Bach born?,['http://dbpedia.org/resource/Johann_Sebastian_Bach'],['http://dbpedia.org/ontology/birthPlace'],['http://dbpedia.org/resource/Johann_Sebastian_Bach'],1.0,1.0,['http://dbpedia.org/ontology/birthPlace'],1.0,1.0
Which city has the oldest running metro?,[],['http://dbpedia.org/ontology/type'],[],1,1,"['http://dbpedia.org/ontology/city', 'http://dbpedia.org/ontology/government', 'http://dbpedia.org/ontology/populationMetro']",0.0,0.0
Who designed the Brooklyn Bridge?,['http://dbpedia.org/resource/Brooklyn_Bridge'],['http://dbpedia.org/ontology/architect'],['http://dbpedia.org/resource/Brooklyn_Bridge'],1.0,1.0,['http://dbpedia.org/property/designer'],0.0,0.0
How many people live in Eurasia?,['http://dbpedia.org/resource/Eurasia'],['http://dbpedia.org/ontology/populationTotal'],['http://dbpedia.org/resource/Eurasia'],1.0,1.0,['http://dbpedia.org/ontology/populationTotal'],1.0,1.0
Who is the host of the BBC Wildlife Specials?,['http://dbpedia.org/resource/BBC_Wildlife_Specials'],['http://dbpedia.org/ontology/presenter'],"['http://dbpedia.org/resource/BBC', 'http://dbpedia.org/resource/BBC_Wildlife_Specials']",0.5,1.0,['http://dbpedia.org/ontology/presenter'],1.0,1.0
"What is the total population of Melbourne, Florida?","['http://dbpedia.org/resource/Melbourne,_Florida']",['http://dbpedia.org/ontology/populationTotal'],"['http://dbpedia.org/resource/Melbourne,_Florida']",1.0,1.0,['http://dbpedia.org/ontology/populationTotal'],1.0,1.0
What country is Mount Everest in?,['http://dbpedia.org/resource/Mount_Everest'],['http://dbpedia.org/ontology/locatedInArea'],['http://dbpedia.org/resource/Mount_Everest'],1.0,1.0,['http://dbpedia.org/ontology/country'],0.0,0.0
To which artistic movement did the painter of The Three Dancers belong?,['http://dbpedia.org/resource/The_Three_Dancers'],"['http://dbpedia.org/ontology/author', 'http://dbpedia.org/ontology/movement']",['http://dbpedia.org/resource/The_Three_Dancers'],1.0,1.0,"['http://dbpedia.org/ontology/movement', 'http://dbpedia.org/ontology/painter', 'http://dbpedia.org/ontology/date']",0.3333333333333333,0.5
When did Operation Overlord commence?,['http://dbpedia.org/resource/Operation_Overlord'],['http://dbpedia.org/ontology/date'],['http://dbpedia.org/resource/Operation_Overlord'],1.0,1.0,['http://dbpedia.org/ontology/date'],1.0,1.0
What is the bridge with the longest span?,[],[],[],1,1,"['http://dbpedia.org/ontology/discipline', 'http://dbpedia.org/ontology/mainspan']",0,0
Is there a video game called Battle Chess?,[],[],['http://dbpedia.org/resource/Battle_Chess'],0,0,"['http://dbpedia.org/property/release', 'http://dbpedia.org/ontology/alias']",0,0
Who was buried in the Great Pyramid of Giza?,[],['http://dbpedia.org/ontology/restingPlace'],['http://dbpedia.org/resource/Great_Pyramid_of_Giza'],0,0,['http://dbpedia.org/ontology/weight'],0.0,0.0
Does the Ford Motor Company have a manufacturing plant in Malaysia?,[],['http://dbpedia.org/ontology/assembly'],"['http://dbpedia.org/resource/Ford_Motor_Company', 'http://dbpedia.org/resource/Malaysia']",0,0,['http://dbpedia.org/property/industry'],0.0,0.0
Did Socrates influence Aristotle?,"['http://dbpedia.org/resource/Aristotle', 'http://dbpedia.org/resource/Socrates']",['http://dbpedia.org/ontology/influencedBy'],"['http://dbpedia.org/resource/Socrates', 'http://dbpedia.org/resource/Aristotle']",1.0,1.0,['http://dbpedia.org/ontology/influencedBy'],1.0,1.0
How many children did Benjamin Franklin have?,['http://dbpedia.org/resource/Benjamin_Franklin'],['http://dbpedia.org/ontology/child'],['http://dbpedia.org/resource/Benjamin_Franklin'],1.0,1.0,['http://dbpedia.org/property/children'],0.0,0.0
How tall is Michael Jordan?,['http://dbpedia.org/resource/Michael_Jordan'],['http://dbpedia.org/ontology/height'],['http://dbpedia.org/resource/Michael_Jordan'],1.0,1.0,['http://dbpedia.org/ontology/height'],1.0,1.0
In which UK city are the headquarters of the MI6?,"['http://dbpedia.org/resource/Secret_Intelligence_Service', 'http://dbpedia.org/resource/United_Kingdom']","['http://dbpedia.org/ontology/headquarter', 'http://dbpedia.org/ontology/country']","['http://dbpedia.org/resource/United_Kingdom', 'http://dbpedia.org/resource/Secret_Intelligence_Service']",1.0,1.0,"['http://dbpedia.org/ontology/city', 'http://dbpedia.org/ontology/headquarter']",0.5,0.5
Who created Family Guy?,['http://dbpedia.org/resource/Family_Guy'],['http://dbpedia.org/ontology/creator'],['http://dbpedia.org/resource/Family_Guy'],1.0,1.0,['http://dbpedia.org/ontology/creator'],1.0,1.0
In which city does the Chile Route 68 end?,['http://dbpedia.org/resource/Chile_Route_68'],['http://dbpedia.org/ontology/routeEnd'],['http://dbpedia.org/resource/Chile_Route_68'],1.0,1.0,['http://dbpedia.org/ontology/city'],0.0,0.0
Give me the grandchildren of Elvis Presley.,['http://dbpedia.org/resource/Elvis_Presley'],"['http://dbpedia.org/ontology/child', 'http://dbpedia.org/ontology/child']",['http://dbpedia.org/resource/Elvis_Presley'],1.0,1.0,['http://dbpedia.org/ontology/child'],1.0,0.5
When did the Ming dynasty dissolve?,['http://dbpedia.org/resource/Ming_dynasty'],['http://dbpedia.org/ontology/dissolutionDate'],['http://dbpedia.org/resource/Ming_dynasty'],1.0,1.0,['http://dbpedia.org/ontology/date'],0.0,0.0
In which military conflicts did Lawrence of Arabia participate?,['http://dbpedia.org/resource/T._E._Lawrence'],['http://dbpedia.org/ontology/battle'],['http://dbpedia.org/resource/T._E._Lawrence'],1.0,1.0,"['http://dbpedia.org/ontology/militaryBranch', 'http://dbpedia.org/ontology/participant']",0.0,0.0
What is the timezone in San Pedro de Atacama?,['http://dbpedia.org/resource/San_Pedro_de_Atacama'],['http://dbpedia.org/ontology/timeZone'],['http://dbpedia.org/resource/San_Pedro_de_Atacama'],1.0,1.0,['http://dbpedia.org/ontology/timeZone'],1.0,1.0
Give me all books by William Goldman with more than 300 pages.,['http://dbpedia.org/resource/William_Goldman'],[],"['http://dbpedia.org/resource/William_Goldman', 'http://dbpedia.org/resource/300']",0.5,1.0,['http://dbpedia.org/ontology/volume'],0,0
What did Bruce Carver die from?,['http://dbpedia.org/resource/Bruce_Carver'],['http://dbpedia.org/ontology/deathCause'],['http://dbpedia.org/resource/Bruce_Carver'],1.0,1.0,['http://dbpedia.org/ontology/deathCause'],1.0,1.0
Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?,"['http://dbpedia.org/resource/Lufthansa', 'http://dbpedia.org/resource/Dortmund_Airport', 'http://dbpedia.org/resource/Berlin_Tegel_Airport']","['http://dbpedia.org/ontology/subsidiary', 'http://dbpedia.org/ontology/targetAirport']","['http://dbpedia.org/resource/Lufthansa', 'http://dbpedia.org/resource/Dortmund_Airport', 'http://dbpedia.org/resource/Berlin_Tegel_Airport']",1.0,1.0,"['http://dbpedia.org/ontology/subsidiary', 'http://dbpedia.org/ontology/chain']",0.5,0.5
Does Abraham Lincoln's death place have a website?,['http://dbpedia.org/resource/Abraham_Lincoln'],"['http://dbpedia.org/ontology/deathPlace', 'http://dbpedia.org/ontology/website']","['http://dbpedia.org/resource/Abraham_Lincoln', 'http://dbpedia.org/resource/This_Place_Is_Death', 'http://dbpedia.org/resource/Website']",0.3333333333333333,1.0,[],0,0.0
Did Elvis Presley have children?,['http://dbpedia.org/resource/Elvis_Presley'],['http://dbpedia.org/ontology/child'],['http://dbpedia.org/resource/Elvis_Presley'],1.0,1.0,['http://dbpedia.org/ontology/child'],1.0,1.0
Is Michelle Obama the wife of Barack Obama?,"['http://dbpedia.org/resource/Barack_Obama', 'http://dbpedia.org/resource/Michelle_Obama']",['http://dbpedia.org/ontology/spouse'],"['http://dbpedia.org/resource/Michelle_Obama', 'http://dbpedia.org/resource/Barack_Obama']",1.0,1.0,['http://dbpedia.org/ontology/spouse'],1.0,1.0
In which city does Sylvester Stallone live?,['http://dbpedia.org/resource/Sylvester_Stallone'],['http://dbpedia.org/ontology/residence'],['http://dbpedia.org/resource/Sylvester_Stallone'],1.0,1.0,"['http://dbpedia.org/ontology/city', 'http://dbpedia.org/ontology/residence']",0.5,1.0
Which books by Kerouac were published by Viking Press?,"['http://dbpedia.org/resource/Viking_Press', 'http://dbpedia.org/resource/Jack_Kerouac']",[],"['http://dbpedia.org/resource/Jack_Kerouac', 'http://dbpedia.org/resource/Viking_Press']",1.0,1.0,"['http://dbpedia.org/ontology/title', 'http://dbpedia.org/ontology/publisher']",0,0
Who wrote the song Hotel California?,['http://dbpedia.org/resource/Hotel_California'],['http://dbpedia.org/ontology/writer'],['http://dbpedia.org/resource/Hotel_California'],1.0,1.0,['http://dbpedia.org/ontology/writer'],1.0,1.0
What is the capital of Canada?,['http://dbpedia.org/resource/Canada'],['http://dbpedia.org/ontology/capital'],['http://dbpedia.org/resource/Canada'],1.0,1.0,['http://dbpedia.org/ontology/capital'],1.0,1.0
Who is the mayor of Tel Aviv?,['http://dbpedia.org/resource/Tel_Aviv'],['http://dbpedia.org/ontology/leaderName'],['http://dbpedia.org/resource/Tel_Aviv'],1.0,1.0,['http://dbpedia.org/ontology/mayor'],0.0,0.0
What form of government does Russia have?,['http://dbpedia.org/resource/Russia'],['http://dbpedia.org/ontology/governmentType'],['http://dbpedia.org/resource/Russia'],1.0,1.0,"['http://dbpedia.org/ontology/type', 'http://dbpedia.org/ontology/governmentType']",0.5,1.0
Show me the book that Muhammad Ali wrote.,['http://dbpedia.org/resource/Muhammad_Ali'],[],['http://dbpedia.org/resource/Muhammad_Ali'],1.0,1.0,['http://dbpedia.org/ontology/author'],0,0
Who was the first to climb Mount Everest?,['http://dbpedia.org/resource/Mount_Everest'],['http://dbpedia.org/ontology/firstAscentPerson'],['http://dbpedia.org/resource/Mount_Everest'],1.0,1.0,['http://dbpedia.org/ontology/board'],0.0,0.0
How many languages are spoken in Colombia?,['http://dbpedia.org/resource/Colombia'],['http://dbpedia.org/ontology/language'],['http://dbpedia.org/resource/Colombia'],1.0,1.0,"['http://dbpedia.org/ontology/language', 'http://dbpedia.org/ontology/spokenIn']",0.5,1.0
What is the currency of the Czech Republic?,['http://dbpedia.org/resource/Czech_Republic'],['http://dbpedia.org/ontology/currency'],"['http://dbpedia.org/resource/Czech_Republic', 'http://dbpedia.org/resource/Czech_Republic']",0.5,1.0,"['http://dbpedia.org/ontology/currency', 'http://dbpedia.org/ontology/country']",0.5,1.0
Where in France is sparkling wine produced?,"['http://dbpedia.org/resource/Sparkling_wine', 'http://dbpedia.org/resource/France']",['http://dbpedia.org/ontology/wineProduced'],"['http://dbpedia.org/resource/Sparkling_wines', 'http://dbpedia.org/resource/France']",0.5,0.5,"['http://dbpedia.org/ontology/parkingInformation', 'http://dbpedia.org/ontology/wineRegion']",0.0,0.0
When did Boris Becker end his active career?,['http://dbpedia.org/resource/Boris_Becker'],['http://dbpedia.org/ontology/activeYearsEndDate'],['http://dbpedia.org/resource/Boris_Becker'],1.0,1.0,"['http://dbpedia.org/ontology/result', 'http://dbpedia.org/ontology/careerPrizeMoney']",0.0,0.0
Which movies starring Mickey Rourke were directed by Guy Ritchie?,"['http://dbpedia.org/resource/Mickey_Rourke', 'http://dbpedia.org/resource/Guy_Ritchie']",[],"['http://dbpedia.org/resource/Mickey_Rourke', 'http://dbpedia.org/resource/Guy_Ritchie']",1.0,1.0,"['http://dbpedia.org/ontology/film', 'http://dbpedia.org/ontology/starring', 'http://dbpedia.org/ontology/president']",0,0
In which films did Julia Roberts as well as Richard Gere play?,"['http://dbpedia.org/resource/Julia_Roberts', 'http://dbpedia.org/resource/Richard_Gere']",[],"['http://dbpedia.org/resource/Julia_Roberts', 'http://dbpedia.org/resource/Richard_Gere']",1.0,1.0,"['http://dbpedia.org/ontology/numberOfFilms', 'http://dbpedia.org/ontology/starring']",0,0
Show me Hemingway's autobiography.,"['http://dbpedia.org/resource/Ernest_Hemingway', 'http://dbpedia.org/resource/Autobiography']",['http://dbpedia.org/ontology/author'],"['http://dbpedia.org/resource/Hemingway_House', 'http://dbpedia.org/resource/Autobiography']",0.5,0.5,['http://dbpedia.org/ontology/show'],0.0,0.0
How tall is Amazon Eve?,['http://dbpedia.org/resource/Amazon_Eve'],['http://dbpedia.org/ontology/height'],['http://dbpedia.org/resource/Amazon_Eve'],1.0,1.0,['http://dbpedia.org/ontology/height'],1.0,1.0
What are the five boroughs of New York?,['http://dbpedia.org/resource/Borough_(New_York_City)'],['http://dbpedia.org/ontology/governmentType'],['http://dbpedia.org/resource/New_York'],0.0,0.0,['http://dbpedia.org/ontology/municipality'],0.0,0.0
Give me all Canadian Grunge record labels.,"['http://dbpedia.org/resource/Grunge', 'http://dbpedia.org/resource/Canada']",[],"['http://dbpedia.org/resource/Canada', 'http://dbpedia.org/resource/Canadian_independent_record_labels']",0.5,0.5,['http://dbpedia.org/ontology/country'],0,0
In which country does the Ganges start?,['http://dbpedia.org/resource/Ganges'],['http://dbpedia.org/ontology/sourceCountry'],['http://dbpedia.org/resource/Ganges'],1.0,1.0,"['http://dbpedia.org/ontology/country', 'http://dbpedia.org/ontology/source']",0.0,0.0
Who is the founder of Penguin Books?,['http://dbpedia.org/resource/Penguin_Books'],['http://dbpedia.org/ontology/founder'],['http://dbpedia.org/resource/Penguin_Books'],1.0,1.0,['http://dbpedia.org/ontology/founder'],1.0,1.0
Who wrote the Game of Thrones theme?,['http://dbpedia.org/resource/Game_of_Thrones'],['http://dbpedia.org/ontology/composer'],['http://dbpedia.org/resource/Game_of_Thrones'],1.0,1.0,['http://dbpedia.org/ontology/composer'],1.0,1.0
Who is the president of Eritrea?,['http://dbpedia.org/resource/Eritrea'],['http://dbpedia.org/ontology/leader'],['http://dbpedia.org/resource/Eritrea'],1.0,1.0,['http://dbpedia.org/ontology/president'],0.0,0.0
In which city did John F. Kennedy die?,['http://dbpedia.org/resource/John_F._Kennedy'],['http://dbpedia.org/ontology/deathPlace'],['http://dbpedia.org/resource/John_F._Kennedy'],1.0,1.0,['http://dbpedia.org/ontology/deathPlace'],1.0,1.0
What is the highest mountain in Australia?,['http://dbpedia.org/resource/Australia'],[],['http://dbpedia.org/resource/Australia'],1.0,1.0,['http://dbpedia.org/property/elevation'],0,0
Who writes the Farmers' Almanac?,"[""http://dbpedia.org/resource/Farmers'_Almanac""]",['http://dbpedia.org/property/editor'],"['http://dbpedia.org/resource/Farmers_Creek_Township,_Jackson_County,_Iowa', 'http://dbpedia.org/resource/Project_Almanac']",0.0,0.0,['http://dbpedia.org/property/writer'],0.0,0.0
Give me the currency of China.,['http://dbpedia.org/resource/China'],['http://dbpedia.org/ontology/currency'],['http://dbpedia.org/resource/China'],1.0,1.0,['http://dbpedia.org/ontology/currency'],1.0,1.0
Give me all Swedish oceanographers.,"['http://dbpedia.org/resource/Oceanography', 'http://dbpedia.org/resource/Sweden']",['http://dbpedia.org/ontology/field'],"['http://dbpedia.org/resource/Sweden', 'http://dbpedia.org/resource/Swedish']",0.5,0.5,"['http://dbpedia.org/ontology/country', 'http://dbpedia.org/ontology/country']",0.0,0.0
In which city are the headquarters of the United Nations?,['http://dbpedia.org/resource/Headquarters_of_the_United_Nations'],['http://dbpedia.org/ontology/location'],['http://dbpedia.org/resource/Headquarters_of_the_United_Nations'],1.0,1.0,"['http://dbpedia.org/ontology/city', 'http://dbpedia.org/ontology/headquarter']",0.0,0.0
Is Rita Wilson the wife of Tom Hanks?,"['http://dbpedia.org/resource/Tom_Hanks', 'http://dbpedia.org/resource/Rita_Wilson']",['http://dbpedia.org/ontology/spouse'],"['http://dbpedia.org/resource/Rita_Wilson', 'http://dbpedia.org/resource/Tom_Hanks']",1.0,1.0,['http://dbpedia.org/property/spouse'],1.0,1.0
In which countries do people speak Japanese?,['http://dbpedia.org/resource/Japanese_language'],[],"['http://dbpedia.org/resource/Countries_of_the_United_Kingdom', 'http://dbpedia.org/resource/Japan', 'http://dbpedia.org/resource/Japanese']",0.0,0.0,"['http://dbpedia.org/ontology/language', 'http://dbpedia.org/ontology/country', 'http://dbpedia.org/ontology/country']",0,0
Which of Tim Burton's films had the highest budget?,['http://dbpedia.org/resource/Tim_Burton'],['http://dbpedia.org/ontology/director'],['http://dbpedia.org/resource/Tim_Burton'],1.0,1.0,"['http://dbpedia.org/ontology/numberOfFilms', 'http://dbpedia.org/ontology/elevation']",0.0,0.0
Which museum in New York has the most visitors?,['http://dbpedia.org/resource/New_York_City'],[],['http://dbpedia.org/resource/New_York_City'],1.0,1.0,"['http://dbpedia.org/ontology/museum', 'http://dbpedia.org/ontology/numberOfVisitors']",0,0
What was the first Queen album?,['http://dbpedia.org/resource/Queen_(band)'],[],['http://dbpedia.org/resource/Queen_(Queen_album)'],0.0,0.0,[],1,1
What was the first name of the band Queens of the Stone Age?,['http://dbpedia.org/resource/Queens_of_the_Stone_Age'],['http://dbpedia.org/ontology/alias'],['http://dbpedia.org/resource/Queens_of_the_Stone_Age'],1.0,1.0,[],0,0.0
What was the last movie with Alec Guinness?,['http://dbpedia.org/resource/Alec_Guinness'],[],['http://dbpedia.org/resource/Alec_Guinness'],1.0,1.0,['http://dbpedia.org/ontology/picture'],0,0
Give me all actors starring in Last Action Hero.,['http://dbpedia.org/resource/Last_Action_Hero'],['http://dbpedia.org/ontology/starring'],['http://dbpedia.org/resource/Last_Action_Hero'],1.0,1.0,['http://dbpedia.org/ontology/starring'],1.0,1.0
Who discovered Pluto?,[],['http://dbpedia.org/ontology/discoverer'],['http://dbpedia.org/resource/Pluto'],0,0,['http://dbpedia.org/ontology/discovered'],1.0,1.0
